startup,roundId
BYJU’S,round_0
Shuttl,round_1
Mamaearth,round_2
https://www.wealthbucket.in/,round_3
Fashor,round_4
Pando,round_5
Zomato,round_6
Ecozen,round_7
CarDekho,round_8
Dhruva Space,round_9
Rivigo,round_10
Healthians,round_11
Licious,round_12
InCred,round_13
Trell,round_14
Rein Games,round_15
Lenskart.com,round_16
Freshworks,round_17
Misters,round_18
Sunstone Eduversity Pvt. Ltd,round_19
Burger Singh,round_20
Healthians,round_21
Ninjacart,round_22
Aye Finance,round_23
SuperGaming,round_24
Clumio,round_25
eBikeGo,round_26
Digital Mall Asia,round_27
Medikabazaar,round_28
Vogo Automotive,round_29
Furtados School of Music,round_30
Paytm,round_31
Dunzo,round_32
Udaan,round_33
The Man Company,round_34
FPL Technologies,round_35
Cashflo,round_36
Digital F5,round_37
3rdFlix,round_38
75F,round_39
Myelin Foundry,round_40
Atomberg Technology,round_41
GOQii,round_42
Vyapar App,round_43
CarDekho,round_44
Progcap,round_45
MyPetrolPump,round_46
Alteria Capital,round_47
Pine Labs,round_48
Meesho,round_49
Cars24,round_50
Uniphore,round_51
Zendrive,round_52
Lo! Foods,round_53
Tala,round_54
INDwealth,round_55
HungerBox,round_56
AdmitKard,round_57
Mishry Reviews,round_58
Grofers,round_59
Rapido Bike Taxi,round_60
RenewBuy,round_61
Atlan,round_62
WizCounsel,round_63
Ola Cabs,round_64
Uniphore,round_65
Daalchini Technologies,round_66
"""BYJU\\'S""",round_67
Moglix,round_68
Ezyhaul,round_69
Indus OS,round_70
HealthAssure,round_71
House of Msasaba,round_72
Board Infinity,round_73
NoBroker,round_74
Bira91,round_75
FabHotels,round_76
Avail Finance,round_77
BharatPe,round_78
Recykal,round_79
Agara Labs,round_80
Sistema.bio,round_81
Chakr Innovation,round_82
Pratilipi,round_83
Bolo App,round_84
OkCredit,round_85
Biz2Credit,round_86
Vogo Automotive Pvt. Ltd.,round_87
Leegality,round_88
Ola Electric,round_89
Saahas Zero Waste,round_90
StyleDotMe,round_91
BlackBuck,round_92
Zenoti,round_93
Ather Energy,round_94
FreshVnF,round_95
GlowRoad,round_96
Bira91,round_97
Kuvera,round_98
Medlife,round_99
Kabadiwala,round_100
Tripoto,round_101
Azah,round_102
Setu,round_103
Toppr,round_104
Craftsvilla,round_105
Unacademy,round_106
CleverTap,round_107
My Healthcare,round_108
KrazyBee,round_109
Shuttl,round_110
Increff,round_111
FleetX,round_112
